Nome Completo;Cargo;País/Local Principal;Idade;País de Origem
Raymond Leo Burke;Prefeito Emérito da Assinatura Apostólica;;76;EUA
Reinhard Marx;Arcebispo de München und Freising {Munique};Alemanha;71;
Robert Sarah;Prefeito Emérito da Congregação para o Culto Divino e a Disciplina dos Sacramentos;;79;Guiné
Robert Francis Prevost;Prefeito do Dicastério para os Bispos;;69;EUA
Robert Walter McElroy;Arcebispo de Washington;EUA;71;
Roberto Repole;Arcebispo de Torino;Itália;58;
Rolandas Makrickas;Arcipreste Coadjutor da Basílica de Santa Maria Maggiore {Basílica de Santa Maria Maior};;53;Lituânia
Sérgio da Rocha;Arcebispo de São Salvador da Bahia;Brasil;65;
Soane Patita Paini Mafi;Bispo de Tonga, Pacífico (Oceania);;63;
Stephen Ameyu Martin Mulla;Arcebispo de Juba;Sudão do Sul;61;
Stephen Brislin;Arcebispo de Joanesburgo;África do Sul;68;
Tarcísio Isao Kikuchi;Arcebispo de Tóquio;Japão;66;
Thomas Aquino Manyo Maeda;Arcebispo de Osaka-Takamatsu;Japão;76;
Thomas Christopher Collins;Arcebispo Emérito de Toronto;Canadá;78;
Timothy Michael Dolan;Arcebispo de Nova York;EUA;75;
Timothy Peter Joseph Radcliffe;Cardeal-Diácono de Santissimi Nomi di Gesù e Maria na Via Lata;;79;Inglaterra
Vicente Bokalic Iglic;Arcebispo de Santiago del Estero;Argentina;72;
Victor Manuel Fernández;Prefeito do Dicastério para a Doutrina da Fé;;62;
Vincent Gerard Nichols;Arcebispo de Westminster;Inglaterra;79;
Willem Jacobus Eijk;Arcebispo de Utrecht;Holanda;71;
William Goh Seng Chye;Arcebispo de Singapura;;67;
Wilton Daniel Gregory;Arcebispo Emérito de Washington;EUA;77;
